Unnamed: 0,PROVISIONAL,BUQUE,IMO,FECHA_ETA,HORA_ETA,FECHA_ETD,HORA_ETD,TXTNUMIMO,TXTESLORA,TXTMANGA,TXTVELMAX,TXTCALADO
576,anon_provisional_663,anon_buque_664,anon_imo_189,09/07/2021 00:00:00,01/01/1900 22:00:00,09/11/2021 00:00:00,01/01/1900 13:00:00,anon_imo_189,103.0,11.0,,2.0
577,anon_provisional_665,anon_buque_664,anon_imo_189,09/28/2021 00:00:00,01/01/1900 20:00:00,10/02/2021 00:00:00,01/01/1900 13:00:00,anon_imo_189,103.0,11.0,,2.0
578,anon_provisional_666,anon_buque_664,anon_imo_189,10/05/2021 00:00:00,01/01/1900 20:00:00,10/09/2021 00:00:00,01/01/1900 13:00:00,anon_imo_189,103.0,11.0,,2.0
579,anon_provisional_667,anon_buque_664,anon_imo_189,10/11/2021 00:00:00,01/01/1900 20:00:00,10/16/2021 00:00:00,01/01/1900 13:00:00,anon_imo_189,103.0,11.0,,2.0
580,anon_provisional_668,anon_buque_664,anon_imo_189,10/18/2021 00:00:00,01/01/1900 20:00:00,10/23/2021 00:00:00,01/01/1900 13:00:00,anon_imo_189,103.0,11.0,,2.0
581,anon_provisional_669,anon_buque_664,anon_imo_189,10/25/2021 00:00:00,01/01/1900 20:00:00,10/31/2021 00:00:00,01/01/1900 23:00:00,anon_imo_189,103.0,11.0,,2.0
582,anon_provisional_670,anon_buque_664,anon_imo_189,11/08/2021 00:00:00,01/01/1900 20:00:00,11/13/2021 00:00:00,01/01/1900 13:00:00,anon_imo_189,103.0,11.0,,2.0
584,anon_provisional_671,anon_buque_664,anon_imo_189,12/25/2021 00:00:00,01/01/1900 21:00:00,12/30/2021 00:00:00,01/01/1900 13:00:00,anon_imo_189,103.0,11.0,,2.0
586,anon_provisional_672,anon_buque_673,anon_imo_190,07/07/2021 00:00:00,01/01/1900 10:00:00,07/09/2021 00:00:00,01/01/1900 23:00:00,anon_imo_190,99.0,12.0,0.0,3.8
587,anon_provisional_674,anon_buque_675,anon_imo_191,07/20/2021 00:00:00,01/01/1900 01:00:00,07/22/2021 00:00:00,01/01/1900 23:00:00,anon_imo_191,89.99,14.0,0.0,6.18
588,anon_provisional_676,anon_buque_675,anon_imo_191,07/20/2021 00:00:00,01/01/1900 01:00:00,07/22/2021 00:00:00,01/01/1900 23:00:00,anon_imo_191,89.99,14.0,0.0,6.18
589,anon_provisional_677,anon_buque_678,anon_imo_192,08/16/2021 00:00:00,01/01/1900 08:00:00,08/18/2021 00:00:00,01/01/1900 23:00:00,anon_imo_192,91.1,13.6,11.5,5.25
590,anon_provisional_679,anon_buque_678,anon_imo_192,09/15/2021 00:00:00,01/01/1900 18:00:00,09/17/2021 00:00:00,01/01/1900 23:00:00,anon_imo_192,91.1,13.6,11.5,5.25
591,anon_provisional_680,anon_buque_678,anon_imo_192,06/24/2021 00:00:00,01/01/1900 12:00:00,06/25/2021 00:00:00,01/01/1900 23:00:00,anon_imo_192,91.1,13.6,11.5,5.25
592,anon_provisional_681,anon_buque_678,anon_imo_192,03/01/2021 00:00:00,01/01/1900 07:00:00,03/03/2021 00:00:00,01/01/1900 23:00:00,anon_imo_192,91.1,13.6,11.5,5.25
593,anon_provisional_682,anon_buque_683,anon_imo_193,02/19/2021 00:00:00,01/01/1900 07:00:00,02/23/2021 00:00:00,01/01/1900 21:00:00,anon_imo_193,128600.0,18000.0,0.0,6.76
595,anon_provisional_684,anon_buque_685,anon_imo_194,02/27/2021 00:00:00,01/01/1900 10:00:00,03/03/2021 00:00:00,01/01/1900 22:00:00,anon_imo_194,88.0,13.0,0.0,5463.0
596,anon_provisional_686,anon_buque_687,anon_imo_195,03/04/2021 00:00:00,01/01/1900 21:00:00,03/05/2021 00:00:00,01/01/1900 22:00:00,anon_imo_195,90.0,14.4,12.0,5.83
597,anon_provisional_688,anon_buque_689,anon_imo_196,03/05/2021 00:00:00,01/01/1900 06:00:00,03/11/2021 00:00:00,01/01/1900 17:00:00,anon_imo_196,88.0,12.8,9.5,5460.0
